,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,name,date,title,review,vote,rating,text_lower,text_wo_punct,review_stopwords,logistic_sentiment,random_forest_sentiment,support_vector_sentiment
10,10,10,10,hitesh bhalodia,2019-11-04,Very good product go for it..,"It is very good product.  I used in swimming pool and salty sea water no any lag found. Stap count accuracy is 80-90%. Battery life is around 8 days with wi fi use when needed. Aap is very good but notification sync problem when my one plus 7 restart so I cut one star. Aap give very good health tips. Alexa also work very fine. But NFC payment is not working in India hope it will be start soon..Overall go for it..
",17,4,"it is very good product.  i used in swimming pool and salty sea water no any lag found. stap count accuracy is 80-90%. battery life is around 8 days with wi fi use when needed. aap is very good but notification sync problem when my one plus 7 restart so i cut one star. aap give very good health tips. alexa also work very fine. but nfc payment is not working in india hope it will be start soon..overall go for it..
","it is very good product  i used in swimming pool and salty sea water no any lag found stap count accuracy is 8090 battery life is around 8 days with wi fi use when needed aap is very good but notification sync problem when my one plus 7 restart so i cut one star aap give very good health tips alexa also work very fine but nfc payment is not working in india hope it will be start soonoverall go for it
",good product used swimming pool salty sea water lag found stap count accuracy 8090 battery life around 8 days wi fi use needed aap good notification sync problem one plus 7 restart cut one star aap give good health tips alexa also work fine nfc payment working india hope start soonoverall go,0,0,0
11,11,11,11,J,2020-08-26,Terrible buy,"This was a terrible purchase. The versa died a month after purchase. i bought it mid Feb and I'm still struggling to get a replacement or refund. The seller said they would get back to me and didn't.  i got in touch with Fitbit directly and it is taking forever - while they are shipping new pieces they seem to have trouble with replacements!! It may have been resolved earlier if it was purchased on their website rather than through a third party seller...
",10,1,"this was a terrible purchase. the versa died a month after purchase. i bought it mid feb and i'm still struggling to get a replacement or refund. the seller said they would get back to me and didn't.  i got in touch with fitbit directly and it is taking forever - while they are shipping new pieces they seem to have trouble with replacements!! it may have been resolved earlier if it was purchased on their website rather than through a third party seller...
","this was a terrible purchase the versa died a month after purchase i bought it mid feb and im still struggling to get a replacement or refund the seller said they would get back to me and didnt  i got in touch with fitbit directly and it is taking forever  while they are shipping new pieces they seem to have trouble with replacements it may have been resolved earlier if it was purchased on their website rather than through a third party seller
",terrible purchase versa died month purchase bought mid feb im still struggling get replacement refund seller said would get back didnt got touch fitbit directly taking forever shipping new pieces seem trouble replacements may resolved earlier purchased website rather third party seller,0,0,0
12,12,12,12,anuradha k.,2019-11-28,Great,"Gifted husband on birthday.This is a very sleek looking piece.Calculates stairs and steps accurately.I feel this brand is costly for indian market.If they make a good watch for cost upto 8k  it will be great.I know technology and quality comes at price, but at the same time gadget prices keep dropping after competition comes into market.Like smartphones.
",10,5,"gifted husband on birthday.this is a very sleek looking piece.calculates stairs and steps accurately.i feel this brand is costly for indian market.if they make a good watch for cost upto 8k  it will be great.i know technology and quality comes at price, but at the same time gadget prices keep dropping after competition comes into market.like smartphones.
","gifted husband on birthdaythis is a very sleek looking piececalculates stairs and steps accuratelyi feel this brand is costly for indian marketif they make a good watch for cost upto 8k  it will be greati know technology and quality comes at price but at the same time gadget prices keep dropping after competition comes into marketlike smartphones
",gifted husband birthdaythis sleek looking piececalculates stairs steps accuratelyi feel brand costly indian marketif make good watch cost upto 8k greati know technology quality comes price time gadget prices keep dropping competition comes marketlike smartphones,1,0,1
13,13,13,13,Amit Bachhawat,2020-06-14,Perfect Smart Watch,"I bought emerald/copper rose watch this for my wife, we kept on contemplating whether we shall buy this or Apple iWatch 3 as the price was very similar.  Though apple watch looks more stylish and has more social value but my wife wanted something pure for measuring steps and overall exercise. On the same i think fitbit is far better with amazing battery life, improved design, user friendly app, and alexa support. If you are looking for a watch where it track exercise and also has a great battery life then go for this watchI bought this for INR 19,500 - got the Citibank INR 1500 discount.Pro's -Improved sleek design - square shapeLight weightalexa connectivitysuperb battery lifeVarious color optionsCon'sNot many - may be not so much social value compared to Apple watch
",9,5,"i bought emerald/copper rose watch this for my wife, we kept on contemplating whether we shall buy this or apple iwatch 3 as the price was very similar.  though apple watch looks more stylish and has more social value but my wife wanted something pure for measuring steps and overall exercise. on the same i think fitbit is far better with amazing battery life, improved design, user friendly app, and alexa support. if you are looking for a watch where it track exercise and also has a great battery life then go for this watchi bought this for inr 19,500 - got the citibank inr 1500 discount.pro's -improved sleek design - square shapelight weightalexa connectivitysuperb battery lifevarious color optionscon'snot many - may be not so much social value compared to apple watch
","i bought emeraldcopper rose watch this for my wife we kept on contemplating whether we shall buy this or apple iwatch 3 as the price was very similar  though apple watch looks more stylish and has more social value but my wife wanted something pure for measuring steps and overall exercise on the same i think fitbit is far better with amazing battery life improved design user friendly app and alexa support if you are looking for a watch where it track exercise and also has a great battery life then go for this watchi bought this for inr 19500  got the citibank inr 1500 discountpros improved sleek design  square shapelight weightalexa connectivitysuperb battery lifevarious color optionsconsnot many  may be not so much social value compared to apple watch
",bought emeraldcopper rose watch wife kept contemplating whether shall buy apple iwatch 3 price similar though apple watch looks stylish social value wife wanted something pure measuring steps overall exercise think fitbit far better amazing battery life improved design user friendly app alexa support looking watch track exercise also great battery life go watchi bought inr 19500 got citibank inr 1500 discountpros improved sleek design square shapelight weightalexa connectivitysuperb battery lifevarious color optionsconsnot many may much social value compared apple watch,1,1,1
14,14,14,14,A Buyer,2020-11-02,20k for a watch that lasts 1 year!,"Update: Got the replacement. Reasonable time. The earlier (different) request seems stuck in the black holeI've been a Fitbit user for about 7 years. I still have a ""One"" that works. But the Versa 2 stopped tracking heart rate. Fitbit has just started replacement process. Shipping from China. Will take 2-3 months (based on another replacement I'm working through) May not buy another Fitbit product again. Fitness equipment, if you use, is money better spent!The watch maintains accuracy only if it is synched regularly.. such a high drift!
",7,1,"update: got the replacement. reasonable time. the earlier (different) request seems stuck in the black holei've been a fitbit user for about 7 years. i still have a ""one"" that works. but the versa 2 stopped tracking heart rate. fitbit has just started replacement process. shipping from china. will take 2-3 months (based on another replacement i'm working through) may not buy another fitbit product again. fitness equipment, if you use, is money better spent!the watch maintains accuracy only if it is synched regularly.. such a high drift!
","update got the replacement reasonable time the earlier different request seems stuck in the black holeive been a fitbit user for about 7 years i still have a one that works but the versa 2 stopped tracking heart rate fitbit has just started replacement process shipping from china will take 23 months based on another replacement im working through may not buy another fitbit product again fitness equipment if you use is money better spentthe watch maintains accuracy only if it is synched regularly such a high drift
",update got replacement reasonable time earlier different request seems stuck black holeive fitbit user 7 years still one works versa 2 stopped tracking heart rate fitbit started replacement process shipping china take 23 months based another replacement im working may buy another fitbit product fitness equipment use money better spentthe watch maintains accuracy synched regularly high drift,0,0,0
15,15,15,15,Ayush,2020-09-11,Not worth a buy!,"I purchased this a month back. I am extremely satisfied with the battery life. But I feel it is waste of money.1. Fitbit alexa feature is not supported in a ll of the mobile devices. I own one plus 7T, and I could not use Alexa.2. Notifications for calls and messages turn off on its own. Most annoying feature.These were the differentiating feature among all smart watches, since I am unable to use them. For me, it is waste of money.A piece of advice, before buying this watch, please do read if it is compatible to your phone or not. You can get that information on their website.Happy shopping!
",5,3,"i purchased this a month back. i am extremely satisfied with the battery life. but i feel it is waste of money.1. fitbit alexa feature is not supported in a ll of the mobile devices. i own one plus 7t, and i could not use alexa.2. notifications for calls and messages turn off on its own. most annoying feature.these were the differentiating feature among all smart watches, since i am unable to use them. for me, it is waste of money.a piece of advice, before buying this watch, please do read if it is compatible to your phone or not. you can get that information on their website.happy shopping!
","i purchased this a month back i am extremely satisfied with the battery life but i feel it is waste of money1 fitbit alexa feature is not supported in a ll of the mobile devices i own one plus 7t and i could not use alexa2 notifications for calls and messages turn off on its own most annoying featurethese were the differentiating feature among all smart watches since i am unable to use them for me it is waste of moneya piece of advice before buying this watch please do read if it is compatible to your phone or not you can get that information on their websitehappy shopping
",purchased month back extremely satisfied battery life feel waste money1 fitbit alexa feature supported mobile devices one plus 7t could use alexa2 notifications calls messages turn annoying featurethese differentiating feature among smart watches since unable use waste moneya piece advice buying watch please read compatible phone get information websitehappy shopping,0,0,0
16,16,16,16,shameer kotni,2019-10-20,Best smart watch,"Looking superb and very stylish
",14,5,"looking superb and very stylish
","looking superb and very stylish
",looking superb stylish,0,0,0
17,17,17,17,Mainak,2019-12-09,FITBIT is ultimate!!,"Well for my BF's birthday I decided to gift him a smart watch as we both are hard core fitness enthusiasts. After a lot of research, I decided to but Amazfit watch worth 12900/-, but i was so so so disheartened by looking at that watch that i had to return it. It was of cheap quality Chinese smart watch type and so much issue's like dull display, laggy functions.I returned it the very next day and booked the Fitbit Versa 2....OMG what a smart watch it is !! It looks absolutely like apple smart watch and is "" Smart"" in real terms . It's quick, accurate and looks amazing. Absolutely a must buy for fitness freaks ..... thanks Amazon and Fitbit !!
",9,5,"well for my bf's birthday i decided to gift him a smart watch as we both are hard core fitness enthusiasts. after a lot of research, i decided to but amazfit watch worth 12900/-, but i was so so so disheartened by looking at that watch that i had to return it. it was of cheap quality chinese smart watch type and so much issue's like dull display, laggy functions.i returned it the very next day and booked the fitbit versa 2....omg what a smart watch it is !! it looks absolutely like apple smart watch and is "" smart"" in real terms . it's quick, accurate and looks amazing. absolutely a must buy for fitness freaks ..... thanks amazon and fitbit !!
","well for my bfs birthday i decided to gift him a smart watch as we both are hard core fitness enthusiasts after a lot of research i decided to but amazfit watch worth 12900 but i was so so so disheartened by looking at that watch that i had to return it it was of cheap quality chinese smart watch type and so much issues like dull display laggy functionsi returned it the very next day and booked the fitbit versa 2omg what a smart watch it is  it looks absolutely like apple smart watch and is  smart in real terms  its quick accurate and looks amazing absolutely a must buy for fitness freaks  thanks amazon and fitbit 
",well bfs birthday decided gift smart watch hard core fitness enthusiasts lot research decided amazfit watch worth 12900 disheartened looking watch return cheap quality chinese smart watch type much issues like dull display laggy functionsi returned next day booked fitbit versa 2omg smart watch looks absolutely like apple smart watch smart real terms quick accurate looks amazing absolutely must buy fitness freaks thanks amazon fitbit,0,0,0
18,18,18,18,Shekhar Badola,2020-08-20,Fit Versa 2 A Real User Experience :,"Dear Esteemed Users and Members of Amazon CommunityI bought a Fitbit versa 2 from amazon in the month of May 2020 .after almost 2 months of using the device, it has started malfunctioning. it is showing some sort of green-brown screen issue which I am unable to resolve on my own ..At first I thought it to be a minor glitch but then the screen started blinking and going on and off on its own ...The device is currently under warranty.I have gone through all the formalities to claim the replacement.But my shipment is stuck in China.And due to border disputes I don't know when it is going to be delivered.As for the accuracy and syncing issues with the mobile application I recommend you buy some other fitness band.I must add all the sensors are currently functioning properly . But you screen shows the battery life is deteriorating within an hour.PS : Not a value for moneyThank you.
",5,1,"dear esteemed users and members of amazon communityi bought a fitbit versa 2 from amazon in the month of may 2020 .after almost 2 months of using the device, it has started malfunctioning. it is showing some sort of green-brown screen issue which i am unable to resolve on my own ..at first i thought it to be a minor glitch but then the screen started blinking and going on and off on its own ...the device is currently under warranty.i have gone through all the formalities to claim the replacement.but my shipment is stuck in china.and due to border disputes i don't know when it is going to be delivered.as for the accuracy and syncing issues with the mobile application i recommend you buy some other fitness band.i must add all the sensors are currently functioning properly . but you screen shows the battery life is deteriorating within an hour.ps : not a value for moneythank you.
","dear esteemed users and members of amazon communityi bought a fitbit versa 2 from amazon in the month of may 2020 after almost 2 months of using the device it has started malfunctioning it is showing some sort of greenbrown screen issue which i am unable to resolve on my own at first i thought it to be a minor glitch but then the screen started blinking and going on and off on its own the device is currently under warrantyi have gone through all the formalities to claim the replacementbut my shipment is stuck in chinaand due to border disputes i dont know when it is going to be deliveredas for the accuracy and syncing issues with the mobile application i recommend you buy some other fitness bandi must add all the sensors are currently functioning properly  but you screen shows the battery life is deteriorating within an hourps  not a value for moneythank you
",dear esteemed users members amazon communityi bought fitbit versa 2 amazon month may 2020 almost 2 months using device started malfunctioning showing sort greenbrown screen issue unable resolve first thought minor glitch screen started blinking going device currently warrantyi gone formalities claim replacementbut shipment stuck chinaand due border disputes dont know going deliveredas accuracy syncing issues mobile application recommend buy fitness bandi must add sensors currently functioning properly screen shows battery life deteriorating within hourps value moneythank,0,0,0
19,19,19,19,Anirudh Bhattacharjee,2019-11-24,"Poor tracking capabilities, worthless","Best avoided. step count is inaccurate . Most forums do not have  a solution to this. Stuck with it as amozon says 'replaceable' not 'returnable '. Deserves zero stars.
",8,1,"best avoided. step count is inaccurate . most forums do not have  a solution to this. stuck with it as amozon says 'replaceable' not 'returnable '. deserves zero stars.
","best avoided step count is inaccurate  most forums do not have  a solution to this stuck with it as amozon says replaceable not returnable  deserves zero stars
",best avoided step count inaccurate forums solution stuck amozon says replaceable returnable deserves zero stars,0,0,0
20,20,20,20,Katie Erricker,2020-12-27,Do not buy - save your money!,"I bought this product for my husband for Christmas and now out of the return window as I bought it a few weeks back. It counts way too many steps and calories. Just walking to the washroom in the morning it shows as 60 steps for a 5metre distance!! As you walk you can see it counting one step as 2-3 steps a time. A total waste of money, the product doesn’t work effectively. Research on the internet shows that a lot of other people suffer the same issues too. Do not buy this product, save your money. Very disappointed!
",4,1,"i bought this product for my husband for christmas and now out of the return window as i bought it a few weeks back. it counts way too many steps and calories. just walking to the washroom in the morning it shows as 60 steps for a 5metre distance!! as you walk you can see it counting one step as 2-3 steps a time. a total waste of money, the product doesn’t work effectively. research on the internet shows that a lot of other people suffer the same issues too. do not buy this product, save your money. very disappointed!
","i bought this product for my husband for christmas and now out of the return window as i bought it a few weeks back it counts way too many steps and calories just walking to the washroom in the morning it shows as 60 steps for a 5metre distance as you walk you can see it counting one step as 23 steps a time a total waste of money the product doesn’t work effectively research on the internet shows that a lot of other people suffer the same issues too do not buy this product save your money very disappointed
",bought product husband christmas return window bought weeks back counts way many steps calories walking washroom morning shows 60 steps 5metre distance walk see counting one step 23 steps time total waste money product doesn’t work effectively research internet shows lot people suffer issues buy product save money disappointed,0,0,0
